Model,Make,Orden_precio
PT,Chrysler,1
Cobalt2dr,Chevrolet,2
Escape4dr,Ford,3
Cobalt4dr,Chevrolet,4
Durango4dr,Dodge,5
Grand,Pontiac,6
New,Chevrolet,7
New,Volkswagen,8
G64dr,Pontiac,9
Yaris4dr,Toyota,10
Passat,Volkswagen,11
Xterra4dr,Nissan,12
Explorer4dr,Ford,13
Versa5dr,Nissan,14
Eclipse3dr,Mitsubishi,15
Accent4dr,Hyundai,16
Grand,Mercury,17
Vibe4dr,Pontiac,18
PriusBase,Toyota,19
E-ClassE320,Mercedes-Benz,20
Versa4dr,Nissan,21
TLAutomatic,Acura,22
Legacy,Subaru,23
Caliber4dr,Dodge,24
RAV44dr,Toyota,25
300Touring,Chrysler,26
YarisBase,Toyota,27
Sentra4dr,Nissan,28
Focus4dr,Ford,29
New,GMC,30
PathfinderSE,Nissan,31
Matrix5dr,Toyota,32
RX-84dr,Mazda,33
MustangDeluxe,Ford,34
Highlander4dr,Toyota,35
Milan4dr,Mercury,36
Impala4dr,Chevrolet,37
Grand,Suzuki,38
xD5dr,Scion,39
Frontier,Nissan,40
Malibu4dr,Chevrolet,41
Suburban4dr,Chevrolet,42
Monte,Chevrolet,43
Corolla4dr,Toyota,44
Galant4dr,Mitsubishi,45
Tahoe4dr,Chevrolet,46
Mazda34dr,Mazda,47
CX-7FWD,Mazda,48
G35,INFINITI,49
Mazda64dr,Mazda,50
Town,Lincoln,51
Yukon4dr,GMC,52
Sedona4dr,Kia,53
Focus5dr,Ford,54
Altima4dr,Nissan,55
ExplorerEddie,Ford,56
FiestaS,Ford,57
500Pop,FIAT,58
Sequoia4dr,Toyota,59
Dakota2WD,Dodge,60
Element2WD,Honda,61
CamryBase,Toyota,62
xB5dr,Scion,63
Fusion4dr,Ford,64
STS4dr,Cadillac,65
EscapeXLT,Ford,66
Lucerne4dr,Buick,67
4Runner4dr,Toyota,68
Escalade4dr,Cadillac,69
Camry4dr,Toyota,70
Prius5dr,Toyota,71
Azera4dr,Hyundai,72
FusionSEL,Ford,73
CTS4dr,Cadillac,74
RogueFWD,Nissan,75
Ranger2WD,Ford,76
FocusSEL,Ford,77
Element4WD,Honda,78
tC2dr,Scion,79
FiestaSE,Ford,80
DTS4dr,Cadillac,81
Mazda35dr,Mazda,82
Patriot4WD,Jeep,83
200Touring,Chrysler,84
Optima4dr,Kia,85
Regal4dr,Buick,86
RAV4Base,Toyota,87
Canyon2WD,GMC,88
Sonata4dr,Hyundai,89
FocusS,Ford,90
LibertySport,Jeep,91
SonicSedan,Chevrolet,92
Colorado2WD,Chevrolet,93
Compass4WD,Jeep,94
FitSport,Honda,95
LaCrosse4dr,Buick,96
CR-V2WD,Honda,97
S804dr,Volvo,98
Dakota4WD,Dodge,99
EscapeLImited,Ford,100
EscapeLimited,Ford,101
350Z2dr,Nissan,102
Forester4dr,Subaru,103
Eos2dr,Volkswagen,104
Avalon4dr,Toyota,105
Taurus4dr,Ford,106
RangerSuperCab,Ford,107
CR-V4WD,Honda,108
Sorento2WD,Kia,109
Maxima4dr,Nissan,110
RioLX,Kia,111
YarisLE,Toyota,112
Elantra4dr,Hyundai,113
RAV4Sport,Toyota,114
SonicHatch,Chevrolet,115
MDX4WD,Acura,116
VeracruzAWD,Hyundai,117
Quest4dr,Nissan,118
FocusSE,Ford,119
ForteEX,Kia,120
AccordSE,Honda,121
3004dr,Chrysler,122
Explorer,Ford,123
GTI2dr,Volkswagen,124
TL4dr,Acura,125
A34dr,Audi,126
TSXAutomatic,Acura,127
Xterra2WD,Nissan,128
VeracruzFWD,Hyundai,129
Ranger4WD,Ford,130
Liberty4WD,Jeep,131
ForteSX,Kia,132
C702dr,Volvo,133
LibertyLimited,Jeep,134
Outlander2WD,Mitsubishi,135
MKZ4dr,Lincoln,136
Forte,Kia,137
200LX,Chrysler,138
GLI4dr,Volkswagen,139
SoulBase,Kia,140
X3AWD,BMW,141
RAV44WD,Toyota,142
Sprinter,Dodge,143
Sienna5dr,Toyota,144
A44dr,Audi,145
XC704dr,Volvo,146
Touareg4dr,Volkswagen,147
Elantra,Hyundai,148
Jetta,Volkswagen,149
Camry,Toyota,150
Colorado4WD,Chevrolet,151
PriusOne,Toyota,152
C-Class4dr,Mercedes-Benz,153
TT2dr,Audi,154
ForteLX,Kia,155
CivicLX,Honda,156
HighlanderBase,Toyota,157
FusionS,Ford,158
CC4dr,Volkswagen,159
Tundra2WD,Toyota,160
Charger4dr,Dodge,161
Frontier2WD,Nissan,162
ElantraLimited,Hyundai,163
Canyon4WD,GMC,164
CruzeLT,Chevrolet,165
Wrangler2dr,Jeep,166
CivicEX,Honda,167
GTI4dr,Volkswagen,168
FocusTitanium,Ford,169
Dakota2WD,Ram,170
A64dr,Audi,171
200Limited,Chrysler,172
Forester2.5X,Subaru,173
CR-ZEX,Honda,174
TaurusSE,Ford,175
CorollaLE,Toyota,176
CorollaL,Toyota,177
ImpalaLS,Chevrolet,178
Civic,Honda,179
MalibuLS,Chevrolet,180
Xterra4WD,Nissan,181
XC90FWD,Volvo,182
Malibu1LT,Chevrolet,183
SonataSE,Hyundai,184
EscapeS,Ford,185
Passat4dr,Volkswagen,186
PatriotSport,Jeep,187
AccordEX,Honda,188
CorollaS,Toyota,189
Titan2WD,Nissan,190
AccordLX,Honda,191
Soul+,Kia,192
Lancer4dr,Mitsubishi,193
Outlander,Mitsubishi,194
Outlander4WD,Mitsubishi,195
PatriotLimited,Jeep,196
Yaris,Toyota,197
JourneyFWD,Dodge,198
OptimaLX,Kia,199
AccordLX-S,Honda,200
CamryL,Toyota,201
CruzeSedan,Chevrolet,202
Mustang2dr,Ford,203
CamryLE,Toyota,204
FusionSE,Ford,205
CompassSport,Jeep,206
Navigator4dr,Lincoln,207
Malibu,Chevrolet,208
Tiguan2WD,Volkswagen,209
Cooper,MINI,210
300Base,Chrysler,211
CivicEX-L,Honda,212
TucsonFWD,Hyundai,213
TaurusSEL,Ford,214
FX35AWD,INFINITI,215
1,BMW,216
X5AWD,BMW,217
"Excursion137""",Ford,218
MustangBase,Ford,219
Tundra4WD,Toyota,220
PatriotLatitude,Jeep,221
ImpalaLT,Chevrolet,222
CompassLatitude,Jeep,223
200S,Chrysler,224
Highlander4WD,Toyota,225
WranglerX,Jeep,226
OptimaEX,Kia,227
TiguanS,Volkswagen,228
Prius,Toyota,229
CompassLimited,Jeep,230
Accord,Honda,231
SportageLX,Kia,232
PriusTwo,Toyota,233
MX5,Mazda,234
JourneyAWD,Dodge,235
EdgeSE,Ford,236
SL-ClassSL500,Mercedes-Benz,237
Impreza2.0i,Subaru,238
CamrySE,Toyota,239
SonataLimited,Hyundai,240
EscapeFWD,Ford,241
Impreza,Subaru,242
Econoline,Ford,243
Sportage2WD,Kia,244
EquinoxFWD,Chevrolet,245
PriusFive,Toyota,246
AccordEX-L,Honda,247
EscapeSE,Ford,248
Grand,Dodge,249
TiguanSE,Volkswagen,250
Frontier4WD,Nissan,251
PriusThree,Toyota,252
FlexSE,Ford,253
Town,Chrysler,254
JourneySXT,Dodge,255
CX-9FWD,Mazda,256
RegalTurbo,Buick,257
Camaro2dr,Chevrolet,258
SC,Lexus,259
CamryXLE,Toyota,260
CR-VLX,Honda,261
TucsonAWD,Hyundai,262
G37,INFINITI,263
Genesis,Hyundai,264
FusionHybrid,Ford,265
Dakota4WD,Ram,266
CherokeeSport,Jeep,267
S2000Manual,Honda,268
Boxster2dr,Porsche,269
Q7quattro,Audi,270
CivicSi,Honda,271
Ram,Dodge,272
ChargerSE,Dodge,273
MuranoS,Nissan,274
MalibuLT,Chevrolet,275
TaurusLimited,Ford,276
RAV4FWD,Toyota,277
OdysseyLX,Honda,278
OptimaSX,Kia,279
OdysseyEX,Honda,280
PriusFour,Toyota,281
Legacy2.5i,Subaru,282
SportageAWD,Kia,283
EquinoxAWD,Chevrolet,284
XF4dr,Jaguar,285
CR-VEX,Honda,286
MustangPremium,Ford,287
Avalanche2WD,Chevrolet,288
RegalPremium,Buick,289
TucsonLimited,Hyundai,290
Escape4WD,Ford,291
FocusST,Ford,292
Santa,Hyundai,293
15002WD,Ram,294
CX-9AWD,Mazda,295
SportageEX,Kia,296
SorentoLX,Kia,297
Titan4WD,Nissan,298
TerrainFWD,GMC,299
EdgeLimited,Ford,300
Murano2WD,Nissan,301
XJ4dr,Jaguar,302
Avalanche4WD,Chevrolet,303
TiguanSEL,Volkswagen,304
SedonaEX,Kia,305
CR-VEX-L,Honda,306
Pathfinder2WD,Nissan,307
SportageSX,Kia,308
Wrangler4WD,Jeep,309
PilotEX,Honda,310
ExplorerBase,Ford,311
CT,Lexus,312
RAV4LE,Toyota,313
SorentoEX,Kia,314
300Limited,Chrysler,315
Express,Chevrolet,316
SiennaLE,Toyota,317
ChargerSXT,Dodge,318
CTCT,Lexus,319
Challenger2dr,Dodge,320
CX-9Touring,Mazda,321
PathfinderS,Nissan,322
TerrainAWD,GMC,323
SedonaLX,Kia,324
SequoiaSR5,Toyota,325
EdgeSEL,Ford,326
XC60FWD,Volvo,327
CR-VSE,Honda,328
MuranoAWD,Nissan,329
300300C,Chrysler,330
Highlander,Toyota,331
AvalonTouring,Toyota,332
MKXFWD,Lincoln,333
Pilot2WD,Honda,334
PilotLX,Honda,335
LaCrosseFWD,Buick,336
S44dr,Audi,337
TraverseFWD,Chevrolet,338
AvalonXLE,Toyota,339
RAV4Limited,Toyota,340
Pathfinder4WD,Nissan,341
Transit,Ford,342
CherokeeLimited,Jeep,343
TacomaPreRunner,Toyota,344
Savana,GMC,345
RAV4XLE,Toyota,346
DurangoSXT,Dodge,347
Golf,Volkswagen,348
RidgelineRTL,Honda,349
AvalonLimited,Toyota,350
WRXBase,Subaru,351
FlexSEL,Ford,352
ImprezaSport,Subaru,353
ES,Lexus,354
Legacy3.6R,Subaru,355
TacomaBase,Toyota,356
Pilot4WD,Honda,357
Outback2.5i,Subaru,358
15004WD,Ram,359
EscaladeAWD,Cadillac,360
Tacoma2WD,Toyota,361
3,BMW,362
TraverseAWD,Chevrolet,363
F-1502WD,Ford,364
ESES,Lexus,365
CamaroCoupe,Chevrolet,366
300300S,Chrysler,367
ColoradoExtended,Chevrolet,368
HighlanderSE,Toyota,369
RegalGS,Buick,370
OdysseyEX-L,Honda,371
C-ClassC350,Mercedes-Benz,372
FJ,Toyota,373
SorentoSX,Kia,374
S60T5,Volvo,375
F-150STX,Ford,376
Expedition2WD,Ford,377
Q5quattro,Audi,378
LaCrosseAWD,Buick,379
AcadiaFWD,GMC,380
WranglerSport,Jeep,381
QX564WD,INFINITI,382
Durango2WD,Dodge,383
IS,Lexus,384
CanyonExtended,GMC,385
CTS,Cadillac,386
XC60AWD,Volvo,387
SLK-ClassSLK350,Mercedes-Benz,388
TundraBase,Toyota,389
WRXPremium,Subaru,390
TaurusSHO,Ford,391
ISIS,Lexus,392
PilotEX-L,Honda,393
RidgelineSport,Honda,394
ExplorerXLT,Ford,395
CX-9Grand,Mazda,396
F-150FX2,Ford,397
Corvette2dr,Chevrolet,398
EnclaveConvenience,Buick,399
FlexLimited,Ford,400
SiennaXLE,Toyota,401
F-250XL,Ford,402
MKXAWD,Lincoln,403
XK2dr,Jaguar,404
AcadiaAWD,GMC,405
SequoiaLimited,Toyota,406
PilotSE,Honda,407
Grand,Jeep,408
MustangGT,Ford,409
CamaroConvertible,Chevrolet,410
Expedition4WD,Ford,411
PacificaTouring,Chrysler,412
Outback3.6R,Subaru,413
EdgeSport,Ford,414
HighlanderFWD,Toyota,415
Sprinter,Freightliner,416
4RunnerSR5,Toyota,417
5,BMW,418
RX,Lexus,419
WranglerSahara,Jeep,420
ExpeditionXLT,Ford,421
RAV4,Toyota,422
WRXLimited,Subaru,423
LSLS,Lexus,424
4RunnerRWD,Toyota,425
RDXAWD,Acura,426
MDXAWD,Acura,427
RDXFWD,Acura,428
F-150FX4,Ford,429
Escalade2WD,Cadillac,430
DurangoAWD,Dodge,431
SRXLuxury,Cadillac,432
GS,Lexus,433
QX562WD,INFINITI,434
ExplorerLimited,Ford,435
Tacoma4WD,Toyota,436
OdysseyTouring,Honda,437
C-ClassC300,Mercedes-Benz,438
HighlanderLimited,Toyota,439
F-150XL,Ford,440
ExplorerFWD,Ford,441
SiennaSE,Toyota,442
LS,Lexus,443
EnclaveLeather,Buick,444
4Runner2WD,Toyota,445
Armada2WD,Nissan,446
F-150SuperCrew,Ford,447
Explorer4WD,Ford,448
PilotTouring,Honda,449
GSGS,Lexus,450
F-150XLT,Ford,451
F-350XL,Ford,452
ChallengerR/T,Dodge,453
1500Tradesman,Ram,454
F-350XLT,Ford,455
RXRX,Lexus,456
X1xDrive28i,BMW,457
Cayman2dr,Porsche,458
WranglerRubicon,Jeep,459
XC60T6,Volvo,460
Silverado,Chevrolet,461
F-1504WD,Ford,462
Expedition,Ford,463
SiennaLimited,Toyota,464
EnclavePremium,Buick,465
CanyonCrew,GMC,466
ColoradoCrew,Chevrolet,467
F-250XLT,Ford,468
TundraSR5,Toyota,469
4Runner4WD,Toyota,470
X3xDrive28i,BMW,471
TahoeLS,Chevrolet,472
WRXSTI,Subaru,473
4RunnerLimited,Toyota,474
Armada4WD,Nissan,475
7,BMW,476
E-ClassE350,Mercedes-Benz,477
Tundra,Toyota,478
Navigator2WD,Lincoln,479
Yukon,GMC,480
XC90AWD,Volvo,481
M-ClassML350,Mercedes-Benz,482
Tahoe2WD,Chevrolet,483
TundraLimited,Toyota,484
Wrangler,Jeep,485
ExpeditionLimited,Ford,486
Sierra,GMC,487
25002WD,Ram,488
GX,Lexus,489
Sequoia4WD,Toyota,490
F-150Lariat,Ford,491
Navigator4WD,Lincoln,492
Sprinter,Mercedes-Benz,493
4RunnerTrail,Toyota,494
F-150Platinum,Ford,495
Tahoe4WD,Chevrolet,496
6,BMW,497
Super,Ford,498
1500Laramie,Ram,499
F-150King,Ford,500
GXGX,Lexus,501
Rover,Land,502
PacificaLimited,Chrysler,503
35004WD,Ram,504
Navigator,Lincoln,505
F-150Limited,Ford,506
CayenneAWD,Porsche,507
Yukon2WD,GMC,508
911,Porsche,509
F-350Lariat,Ford,510
F-250King,Ford,511
F-350King,Ford,512
Suburban4WD,Chevrolet,513
X5xDrive35i,BMW,514
A8,Audi,515
Suburban2WD,Chevrolet,516
F-250Lariat,Ford,517
C-ClassC,Mercedes-Benz,518
Titan,Nissan,519
Escalade,Cadillac,520
TahoeLT,Chevrolet,521
25004WD,Ram,522
Yukon4WD,GMC,523
LXLX,Lexus,524
LX,Lexus,525
CTS-V,Cadillac,526
SequoiaPlatinum,Toyota,527
Land,Toyota,528
9112dr,Porsche,529
MustangShelby,Ford,530
CorvetteCoupe,Chevrolet,531
E-ClassE,Mercedes-Benz,532
XC90T6,Volvo,533
CorvetteConvertible,Chevrolet,534
Model,Tesla,535
Continental,Bentley,536
